resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:nc.anss.org/Arrival/NC/109312214,BK,DCMP,HHZ,00,2019-06-23T03:53:21.900,impulsive,negative,manual,reviewed,P,137.1,1.093,45.0,-0.55,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312219,BK,WEAV,HHZ,00,2019-06-23T03:53:22.600,impulsive,positive,manual,reviewed,P,64.3,1.109,45.0,-0.07,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312224,CE,79668,HNZ,10,2019-06-23T03:53:22.970,emergent,negative,manual,reviewed,P,139.9,1.149,45.0,-0.27,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312229,BK,PETY,HHZ,00,2019-06-23T03:53:24.040,impulsive,positive,manual,reviewed,P,94.3,1.162,45.0,0.63,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312234,NC,KOM,EHZ,02,2019-06-23T03:53:23.840,impulsive,positive,manual,reviewed,P,32.3,1.193,45.0,0.09,0.0,-0.1
quakeml:nc.anss.org/Arrival/NC/109312239,NC,LPG,EHZ,,2019-06-23T03:53:25.220,impulsive,positive,manual,reviewed,P,95.4,1.241,45.0,0.34,0.0,0.34
quakeml:nc.anss.org/Arrival/NC/109312244,NC,LVR,EHZ,,2019-06-23T03:53:25.710,impulsive,positive,manual,reviewed,P,100.1,1.269,45.0,0.4,0.0,0.38
quakeml:nc.anss.org/Arrival/NC/109312249,NC,KRMB,HHZ,,2019-06-23T03:53:24.880,impulsive,positive,manual,reviewed,P,13.2,1.283,45.0,0.14,0.0,-0.38
quakeml:nc.anss.org/Arrival/NC/109312254,NC,GRO,EHZ,,2019-06-23T03:53:25.690,impulsive,positive,manual,reviewed,P,105.4,1.299,45.0,0.03,0.0,0.31
quakeml:nc.anss.org/Arrival/NC/109312259,NC,GMR,EHZ,01,2019-06-23T03:53:24.640,impulsive,negative,manual,reviewed,P,150.4,1.307,45.0,-0.83,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312264,NC,G006,HNZ,01,2019-06-23T03:53:24.720,emergent,negative,manual,reviewed,P,150.4,1.308,45.0,-0.76,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312269,NC,GWR,EHZ,01,2019-06-23T03:53:24.990,impulsive,negative,manual,reviewed,P,143.9,1.316,45.0,-0.19,0.0,-0.4
quakeml:nc.anss.org/Arrival/NC/109312274,NC,LRB,EHZ,,2019-06-23T03:53:26.870,impulsive,negative,manual,reviewed,P,95.0,1.341,45.0,0.23,0.0,0.7
quakeml:nc.anss.org/Arrival/NC/109312279,NC,G007,HNZ,01,2019-06-23T03:53:25.070,impulsive,negative,manual,reviewed,P,158.9,1.339,45.0,-0.84,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312284,NC,GVV,EHZ,,2019-06-23T03:53:26.130,impulsive,positive,manual,reviewed,P,111.3,1.343,45.0,0.05,0.0,0.11
quakeml:nc.anss.org/Arrival/NC/109312289,CE,69001,HNZ,10,2019-06-23T03:53:26.240,impulsive,negative,manual,reviewed,P,161.7,1.389,45.0,-0.37,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312294,BK,TRIN,HHZ,00,2019-06-23T03:53:27.090,impulsive,positive,manual,reviewed,P,59.4,1.402,45.0,0.35,0.0,-0.05
quakeml:nc.anss.org/Arrival/NC/109312299,NC,LSF,EHZ,,2019-06-23T03:53:27.000,impulsive,positive,manual,reviewed,P,73.5,1.409,45.0,-0.14,0.0,0.25
quakeml:nc.anss.org/Arrival/NC/109312304,NC,LBK,EHZ,,2019-06-23T03:53:28.260,impulsive,positive,manual,reviewed,P,56.3,1.482,45.0,0.27,0.0,0.06
quakeml:nc.anss.org/Arrival/NC/109312309,CE,88059,HNZ,10,2019-06-23T03:53:28.410,emergent,undecidable,manual,reviewed,P,77.7,1.494,45.0,0.28,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312314,CE,99017,HNZ,10,2019-06-23T03:53:27.600,emergent,positive,manual,reviewed,P,3.0,1.492,45.0,-0.46,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312319,NC,K001,HNZ,01,2019-06-23T03:53:28.340,emergent,positive,manual,reviewed,P,3.5,1.535,45.0,-0.33,0.0,0.0
